seed,model,n_jobs,batch_size,p50_ms,p95_ms,p99_ms,mean_ms
42,rccf,1,1,14.200600002368446,15.100089999759803,15.360409000713844,14.281794998169062
42,rccf,-1,1,69.50584999867715,75.40159500858863,76.355142997636,70.54623499971058
42,equal_rf_chi2,1,1,2.9868499987060204,3.6896649980917555,4.28989300475223,3.0867149998812238
42,equal_rf_chi2,-1,1,16.579799994360656,18.23236999916844,18.34263599899714,16.719022499091807
42,extra_trees_chi2,1,1,2.973549999296665,3.322024994849926,3.515059996570926,3.0134174990962492
42,extra_trees_chi2,-1,1,16.88780000404222,18.346854999981588,49.769207997596794,18.35103999947023
2024,rccf,1,1,15.189050005574245,16.555355001037242,16.78947300388245,15.385574998072116
2024,rccf,-1,1,70.71649999852525,74.56453499471536,75.49439199705375,70.87742999829061
2024,equal_rf_chi2,1,1,2.9566000011982396,3.5488300061842875,4.22850499584456,3.05048250083928
2024,equal_rf_chi2,-1,1,16.88365000882186,18.389710002520587,18.507771999866236,16.93438499860349
2024,extra_trees_chi2,1,1,2.961749996757135,3.4583100023155566,3.4898649938986637,3.027612499136012
2024,extra_trees_chi2,-1,1,16.8980500093312,18.789250003464986,49.08073500235329,18.24429750085983
3407,rccf,1,1,14.471049995336216,15.651920000527753,16.197295997699257,14.618077497652848
3407,rccf,-1,1,69.55915000435198,75.36012000709889,76.81353499749093,70.42432999878656
3407,equal_rf_chi2,1,1,2.9372499921009876,3.598540011444128,4.008297003310872,3.0421999999816762
3407,equal_rf_chi2,-1,1,16.61414999398403,18.10293000380625,18.548878996662097,16.754237500572344
3407,extra_trees_chi2,1,1,3.0382499971892685,4.127815003448632,4.3397990087396465,3.167044999645441
3407,extra_trees_chi2,-1,1,16.463899992231745,17.210639999393607,17.459503995196428,16.555584999514394
