,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,92,0,1,8
DoS/DDoS,0,1,97,1,2
Normal,1,1,1,98,0
Web Attack,0,12,1,0,88
