seed,model,rep,condition,macro_f1,absolute_drop,relative_drop
42,rccf,0,gaussian_noise_1pct,0.7228260831085397,0.23767691815107472,0.24745046901402967
42,rccf,0,feature_mask_5pct,0.9565780574507399,0.003924943808874537,0.004086342055909582
42,rccf,1,gaussian_noise_1pct,0.720271783260086,0.2402312179995284,0.2501098046382848
42,rccf,1,feature_mask_5pct,0.9605030012596144,0.0,0.0
42,rccf,2,gaussian_noise_1pct,0.6938985524279643,0.26660444883165013,0.27756753334661327
42,rccf,2,feature_mask_5pct,0.9566011803150758,0.0039018209445386143,0.004062268352542077
42,rccf,3,gaussian_noise_1pct,0.6830516719791062,0.2774513292805082,0.2888604501148413
42,rccf,3,feature_mask_5pct,0.9605030012596144,0.0,0.0
42,rccf,4,gaussian_noise_1pct,0.6780658260645895,0.28243717519502487,0.2940513198028883
42,rccf,4,feature_mask_5pct,0.9565254052877815,0.003977595971832892,0.004141159336948066
42,rccf,5,gaussian_noise_1pct,0.7088366639571146,0.25166633730249977,0.2620151493253657
42,rccf,5,feature_mask_5pct,0.9486894938007158,0.011813507458898642,0.012299292603361234
42,rccf,6,gaussian_noise_1pct,0.7219482782927706,0.23855472296684377,0.24836437018312324
42,rccf,6,feature_mask_5pct,0.9545876683019348,0.005915332957679653,0.006158578317737914
42,rccf,7,gaussian_noise_1pct,0.6800726665902195,0.28043033466939493,0.2919619556645169
42,rccf,7,feature_mask_5pct,0.9566054969808269,0.0038975042787875447,0.004057774180482845
42,rccf,8,gaussian_noise_1pct,0.6914403664695514,0.269062634790063,0.2801268027660624
42,rccf,8,feature_mask_5pct,0.9605670308369902,-6.402957737583481e-05,-6.666254794817477e-05
42,rccf,9,gaussian_noise_1pct,0.7107175875871061,0.24978541367250828,0.2600568799315951
42,rccf,9,feature_mask_5pct,0.9585523584341378,0.001950642825476634,0.002030855523531461
42,equal_rf_chi2,0,gaussian_noise_1pct,0.7034028399789269,0.25710016128068747,0.26767241845525047
42,equal_rf_chi2,0,feature_mask_5pct,0.9545931680857841,0.0059098331738303145,0.006152852376390384
42,equal_rf_chi2,1,gaussian_noise_1pct,0.708550835059541,0.25195216620007344,0.26231273183910986
42,equal_rf_chi2,1,feature_mask_5pct,0.9585683547521688,0.0019346465074455699,0.00201420141832816
42,equal_rf_chi2,2,gaussian_noise_1pct,0.6829357328937862,0.27756726836582823,0.28898115674997726
42,equal_rf_chi2,2,feature_mask_5pct,0.9526517739463701,0.00785122731324428,0.008174078897148778
42,equal_rf_chi2,3,gaussian_noise_1pct,0.6672296323597211,0.2932733688998933,0.30533311037580446
42,equal_rf_chi2,3,feature_mask_5pct,0.9624852863317515,-0.0019822850721370466,-0.00206379893611728
42,equal_rf_chi2,4,gaussian_noise_1pct,0.6699193121693121,0.2905836890903023,0.30253282780920787
42,equal_rf_chi2,4,feature_mask_5pct,0.9604778849289509,2.5116330663488284e-05,2.6149143345258105e-05
42,equal_rf_chi2,5,gaussian_noise_1pct,0.6825474547748451,0.2779555464847693,0.2893854013160347
42,equal_rf_chi2,5,feature_mask_5pct,0.9467714499983038,0.013731551261310648,0.01429620859414592
42,equal_rf_chi2,6,gaussian_noise_1pct,0.6894979838994588,0.2710050173601556,0.2821490583629167
42,equal_rf_chi2,6,feature_mask_5pct,0.9507026461007522,0.00980035515886224,0.010203357143090593
42,equal_rf_chi2,7,gaussian_noise_1pct,0.6766427134043258,0.2838602878552886,0.29553295250824935
42,equal_rf_chi2,7,feature_mask_5pct,0.958579302217103,0.0019236990425114397,0.002002803780923828
42,equal_rf_chi2,8,gaussian_noise_1pct,0.6857611965674515,0.2747418046921629,0.28603950672914447
42,equal_rf_chi2,8,feature_mask_5pct,0.9586053699293418,0.0018976313302726533,0.0019756641340881584
42,equal_rf_chi2,9,gaussian_noise_1pct,0.6976651132455256,0.2628378880140888,0.27364608717453276
42,equal_rf_chi2,9,feature_mask_5pct,0.9546224429015171,0.00588055835809731,0.00612237374624075
42,extra_trees_chi2,0,gaussian_noise_1pct,0.929921732605432,0.016383728305031542,0.01731336125786314
42,extra_trees_chi2,0,feature_mask_5pct,0.9424957090827955,0.003809751827668073,0.004025921845576816
42,extra_trees_chi2,1,gaussian_noise_1pct,0.9449711615918668,0.0013342993185967433,0.0014100091077493956
42,extra_trees_chi2,1,feature_mask_5pct,0.948527034566925,-0.002221573656461473,-0.002347628485969047
42,extra_trees_chi2,2,gaussian_noise_1pct,0.9373716409308421,0.008933819979621394,0.009440735944845914
42,extra_trees_chi2,2,feature_mask_5pct,0.9444732799313561,0.0018321809791074228,0.0019361411877985327
42,extra_trees_chi2,3,gaussian_noise_1pct,0.9261519964842861,0.02015346442617738,0.02129699685637156
42,extra_trees_chi2,3,feature_mask_5pct,0.9523695372882489,-0.006064076377785388,-0.006408159551304916
42,extra_trees_chi2,4,gaussian_noise_1pct,0.9314208279228374,0.0148846329876261,0.015729205423062054
42,extra_trees_chi2,4,feature_mask_5pct,0.9464276667830299,-0.00012220587256639437,-0.00012913998451284127
42,extra_trees_chi2,5,gaussian_noise_1pct,0.9355622510622762,0.01074320984818733,0.011352792826378732
42,extra_trees_chi2,5,feature_mask_5pct,0.9422791761784612,0.004026284732002283,0.004254741093989351
42,extra_trees_chi2,6,gaussian_noise_1pct,0.940910893694309,0.0053945672161545,0.005700661614024985
42,extra_trees_chi2,6,feature_mask_5pct,0.9387183069897107,0.0075871539207528205,0.008017658392727688
42,extra_trees_chi2,7,gaussian_noise_1pct,0.9332292995142815,0.013076161396182062,0.013818118922827697
42,extra_trees_chi2,7,feature_mask_5pct,0.9405427994027716,0.005762661507691891,0.006089642029696726
42,extra_trees_chi2,8,gaussian_noise_1pct,0.9428220008633487,0.0034834600471148613,0.0036811158669245547
42,extra_trees_chi2,8,feature_mask_5pct,0.9444732799313561,0.0018321809791074228,0.0019361411877985327
42,extra_trees_chi2,9,gaussian_noise_1pct,0.9409766391875705,0.005328821722893062,0.005631185640380933
42,extra_trees_chi2,9,feature_mask_5pct,0.9423577122508858,0.003947748659577699,0.004171748787943666
2024,rccf,0,gaussian_noise_1pct,0.7407364742213379,0.21976652703827648,0.22880358182126675
2024,rccf,0,feature_mask_5pct,0.9585175359641228,0.0019854652954915952,0.002067109933949018
2024,rccf,1,gaussian_noise_1pct,0.7324137234077988,0.22808927785181565,0.23746857381257197
2024,rccf,1,feature_mask_5pct,0.9605346435062747,-3.164224666030169e-05,-3.294341258570321e-05
2024,rccf,2,gaussian_noise_1pct,0.7275669426376228,0.23293605862199163,0.2425146598360616
2024,rccf,2,feature_mask_5pct,0.960551920201946,-4.891894233161054e-05,-5.0930546044580485e-05
2024,rccf,3,gaussian_noise_1pct,0.7319772214348583,0.22852577982475608,0.2379230252535024
2024,rccf,3,feature_mask_5pct,0.9585523584341378,0.001950642825476634,0.002030855523531461
2024,rccf,4,gaussian_noise_1pct,0.7317486485550355,0.2287543527045789,0.23816099731556056
2024,rccf,4,feature_mask_5pct,0.9605346435062747,-3.164224666030169e-05,-3.294341258570321e-05
2024,rccf,5,gaussian_noise_1pct,0.723862197004556,0.2366408042550584,0.24637174891148178
2024,rccf,5,feature_mask_5pct,0.9506212263424842,0.00988177491713016,0.010288124976362478
2024,rccf,6,gaussian_noise_1pct,0.7256786772274205,0.2348243240321939,0.24448057291257044
2024,rccf,6,feature_mask_5pct,0.9565566046309335,0.003946396628680904,0.004108677040577234
2024,rccf,7,gaussian_noise_1pct,0.7417246052589126,0.2187783960007018,0.22777481768801697
2024,rccf,7,feature_mask_5pct,0.9565992485541746,0.0039037527054398558,0.004064279549694723
2024,rccf,8,gaussian_noise_1pct,0.7093005109571375,0.2512024903024769,0.2615322283980863
2024,rccf,8,feature_mask_5pct,0.958538012392171,0.0019649888674434512,0.002045791491402466
2024,rccf,9,gaussian_noise_1pct,0.7332342814018207,0.22726871985779373,0.23661427352101033
2024,rccf,9,feature_mask_5pct,0.9605346435062747,-3.164224666030169e-05,-3.294341258570321e-05
2024,equal_rf_chi2,0,gaussian_noise_1pct,0.6605543810840654,0.299948620175549,0.31228285573516484
2024,equal_rf_chi2,0,feature_mask_5pct,0.9546657053219256,0.00583729593768878,0.0060773323248690374
2024,equal_rf_chi2,1,gaussian_noise_1pct,0.6391032911590188,0.32139971010059565,0.33461603938676765
2024,equal_rf_chi2,1,feature_mask_5pct,0.9546019079253936,0.005901093334220842,0.006143753144427536
2024,equal_rf_chi2,2,gaussian_noise_1pct,0.6652011411828764,0.295301860076738,0.3074450154653091
2024,equal_rf_chi2,2,feature_mask_5pct,0.9546898362151068,0.005813165044507573,0.006052209141339614
2024,equal_rf_chi2,3,gaussian_noise_1pct,0.6493848252153096,0.3111181760443048,0.32391171671124497
2024,equal_rf_chi2,3,feature_mask_5pct,0.9565763080938172,0.00392669316579719,0.004088163348420235
2024,equal_rf_chi2,4,gaussian_noise_1pct,0.650919963673695,0.30958303758591943,0.32231345157686
2024,equal_rf_chi2,4,feature_mask_5pct,0.9565965874872363,0.003906413772378103,0.004067050042795482
2024,equal_rf_chi2,5,gaussian_noise_1pct,0.6545318419349451,0.30597115932466934,0.31855304868742246
2024,equal_rf_chi2,5,feature_mask_5pct,0.9466726585961777,0.013830342663436745,0.014399062413443247
2024,equal_rf_chi2,6,gaussian_noise_1pct,0.6456677138737194,0.31483528738589506,0.3277816799874821
2024,equal_rf_chi2,6,feature_mask_5pct,0.9468270968797284,0.013675904379885973,0.014238273448340336
2024,equal_rf_chi2,7,gaussian_noise_1pct,0.6607522700888321,0.2997507311707823,0.31207682930473496
2024,equal_rf_chi2,7,feature_mask_5pct,0.9487481951608367,0.01175480609877766,0.012238177375148516
2024,equal_rf_chi2,8,gaussian_noise_1pct,0.6444192334477692,0.3160837678118452,0.3290814993782731
2024,equal_rf_chi2,8,feature_mask_5pct,0.9526486375569612,0.007854363702653244,0.00817734425853219
2024,equal_rf_chi2,9,gaussian_noise_1pct,0.648804654155652,0.3116983471039624,0.3245157450785658
2024,equal_rf_chi2,9,feature_mask_5pct,0.9546337239858105,0.00586927727380393,0.00611062877066172
2024,extra_trees_chi2,0,gaussian_noise_1pct,0.9353625007637818,0.01694227977174312,0.01779081667763517
2024,extra_trees_chi2,0,feature_mask_5pct,0.9504595097846849,0.0018452707508400668,0.0019376892656176585
2024,extra_trees_chi2,1,gaussian_noise_1pct,0.9389694023792192,0.0133353781563057,0.01400326705154898
2024,extra_trees_chi2,1,feature_mask_5pct,0.9445142890717948,0.00779049146373012,0.00818067033051033
2024,extra_trees_chi2,2,gaussian_noise_1pct,0.9391057970776842,0.013198983457840763,0.013860041162891534
2024,extra_trees_chi2,2,feature_mask_5pct,0.9371492614684757,0.015155519067049261,0.015914567874506114
2024,extra_trees_chi2,3,gaussian_noise_1pct,0.931374445773327,0.020930334762197966,0.021978609359104416
2024,extra_trees_chi2,3,feature_mask_5pct,0.9484615636490409,0.0038432168864840355,0.004035700507901281
2024,extra_trees_chi2,4,gaussian_noise_1pct,0.9336281161039721,0.018676664431552803,0.019612066234772078
2024,extra_trees_chi2,4,feature_mask_5pct,0.946296956817835,0.006007823717689931,0.006308719477719575
2024,extra_trees_chi2,5,gaussian_noise_1pct,0.9329939187165861,0.019310861818938818,0.02027802675534132
2024,extra_trees_chi2,5,feature_mask_5pct,0.9465782793650789,0.005726501170446041,0.0060133071759082895
2024,extra_trees_chi2,6,gaussian_noise_1pct,0.931374445773327,0.020930334762197966,0.021978609359104416
2024,extra_trees_chi2,6,feature_mask_5pct,0.9464320762121273,0.005872704323397593,0.006166832765551277
2024,extra_trees_chi2,7,gaussian_noise_1pct,0.9391856571743773,0.013119123361147622,0.013776181354219532
2024,extra_trees_chi2,7,feature_mask_5pct,0.9406895784110858,0.011615202124439117,0.01219693774708067
2024,extra_trees_chi2,8,gaussian_noise_1pct,0.9411299189836863,0.011174861551838666,0.011734543163328998
2024,extra_trees_chi2,8,feature_mask_5pct,0.9444677821139168,0.007836998421608121,0.008229506542223819
2024,extra_trees_chi2,9,gaussian_noise_1pct,0.9409350018449179,0.011369778690607069,0.011939222529381106
2024,extra_trees_chi2,9,feature_mask_5pct,0.9445317046630187,0.007773075872506197,0.008162382497056286
3407,rccf,0,gaussian_noise_1pct,0.7143286840859137,0.24617431717370075,0.25629729095157955
3407,rccf,0,feature_mask_5pct,0.9525970615846617,0.007905939674952678,0.008231041094702192
3407,rccf,1,gaussian_noise_1pct,0.7013153013266638,0.25918769993295065,0.2698457991209283
3407,rccf,1,feature_mask_5pct,0.9605675339838967,-6.453272428230683e-05,-6.718638483969118e-05
3407,rccf,2,gaussian_noise_1pct,0.6986909103102302,0.2618120909493842,0.27257810814337996
3407,rccf,2,feature_mask_5pct,0.9585523584341378,0.001950642825476634,0.002030855523531461
3407,rccf,3,gaussian_noise_1pct,0.7084473495387895,0.2520556517208249,0.2624204728046412
3407,rccf,3,feature_mask_5pct,0.9566065377359927,0.003896463523621718,0.0040566906282560825
3407,rccf,4,gaussian_noise_1pct,0.6947855672484826,0.2657174340111318,0.27664404344668053
3407,rccf,4,feature_mask_5pct,0.9585523584341378,0.001950642825476634,0.002030855523531461
3407,rccf,5,gaussian_noise_1pct,0.7174805131867624,0.24302248807285198,0.2530158549782245
3407,rccf,5,feature_mask_5pct,0.9506276760824488,0.009875325177165606,0.010281410015601193
3407,rccf,6,gaussian_noise_1pct,0.7047425787545103,0.2557604225051041,0.26627758806552093
3407,rccf,6,feature_mask_5pct,0.9585523584341378,0.001950642825476634,0.002030855523531461
3407,rccf,7,gaussian_noise_1pct,0.7281683304575844,0.23233467080202996,0.24188854225061626
3407,rccf,7,feature_mask_5pct,0.9526632806360569,0.007839720623557533,0.008162099039020633
3407,rccf,8,gaussian_noise_1pct,0.712979399482452,0.24752360177716237,0.25770205970471427
3407,rccf,8,feature_mask_5pct,0.9605606108016396,-5.7609542025161e-05,-5.997851328898629e-05
3407,rccf,9,gaussian_noise_1pct,0.7113721188344785,0.24913088242513592,0.2593754335992942
3407,rccf,9,feature_mask_5pct,0.956507254340553,0.00399574691906146,0.0041600566722034115
3407,equal_rf_chi2,0,gaussian_noise_1pct,0.6638159758034773,0.29470479715811937,0.30745791376805853
3407,equal_rf_chi2,0,feature_mask_5pct,0.9546125920756744,0.003908180885922263,0.004077304317408722
3407,equal_rf_chi2,1,gaussian_noise_1pct,0.626088624216801,0.33243214874479565,0.3468178866042318
3407,equal_rf_chi2,1,feature_mask_5pct,0.9566331616511909,0.0018876113104057124,0.0019692961943573234
3407,equal_rf_chi2,2,gaussian_noise_1pct,0.6733317719350099,0.28518900102658673,0.2975303290980559
3407,equal_rf_chi2,2,feature_mask_5pct,0.9585153274101218,5.44555147485859e-06,5.681203400561843e-06
3407,equal_rf_chi2,3,gaussian_noise_1pct,0.6527485334786649,0.30577223948293175,0.31900429089102544
3407,equal_rf_chi2,3,feature_mask_5pct,0.9566330532212886,0.0018877197403081025,0.001969409316477833
3407,equal_rf_chi2,4,gaussian_noise_1pct,0.6594315306212677,0.29908924234032896,0.31203209234184437
3407,equal_rf_chi2,4,feature_mask_5pct,0.9566011803150758,0.0019195926465208624,0.0020026614974548614
3407,equal_rf_chi2,5,gaussian_noise_1pct,0.6960521232425941,0.2624686497190025,0.27382677258838956
3407,equal_rf_chi2,5,feature_mask_5pct,0.9506646944349033,0.007856078526693344,0.008196044100765774
3407,equal_rf_chi2,6,gaussian_noise_1pct,0.6809274547825895,0.2775933181790071,0.2896059490931126
3407,equal_rf_chi2,6,feature_mask_5pct,0.9585523584341378,-3.158547254111799e-05,-3.295230884097226e-05
3407,equal_rf_chi2,7,gaussian_noise_1pct,0.6774929985936206,0.2810277743679761,0.29318902865262736
3407,equal_rf_chi2,7,feature_mask_5pct,0.9486792305452714,0.009841542416325288,0.010267427367189247
3407,equal_rf_chi2,8,gaussian_noise_1pct,0.6867662462414754,0.27175452672012124,0.2835144885597687
3407,equal_rf_chi2,8,feature_mask_5pct,0.9645168378729932,-0.0059960649113965925,-0.0062555398699083034
3407,equal_rf_chi2,9,gaussian_noise_1pct,0.6805423164291525,0.27797845653244413,0.29000775400365936
3407,equal_rf_chi2,9,feature_mask_5pct,0.9525514293266468,0.005969343634949831,0.006227662251393892
3407,extra_trees_chi2,0,gaussian_noise_1pct,0.9317760573946401,0.016541335857271466,0.01744282660528764
3407,extra_trees_chi2,0,feature_mask_5pct,0.9463983692489759,0.0019190240029356431,0.0020236094124089026
3407,extra_trees_chi2,1,gaussian_noise_1pct,0.9240870501334857,0.024230343118425868,0.025550879158017622
3407,extra_trees_chi2,1,feature_mask_5pct,0.9502829296657541,-0.0019655364138425613,-0.0020726567158095297
3407,extra_trees_chi2,2,gaussian_noise_1pct,0.9204392638474473,0.027878129404464214,0.02939746713794445
3407,extra_trees_chi2,2,feature_mask_5pct,0.948416728096185,-9.933484427349093e-05,-0.00010474852088587978
3407,extra_trees_chi2,3,gaussian_noise_1pct,0.9107442732207887,0.0375731200311229,0.039620827687531356
3407,extra_trees_chi2,3,feature_mask_5pct,0.944495709898906,0.0038216833530055894,0.004029962310298357
3407,extra_trees_chi2,4,gaussian_noise_1pct,0.914663648334552,0.03365374491735951,0.03548784948671685
3407,extra_trees_chi2,4,feature_mask_5pct,0.9484427223893395,-0.00012532913742790974,-0.00013215948407119138
3407,extra_trees_chi2,5,gaussian_noise_1pct,0.9223339605534691,0.0259834326984425,0.027399510842400256
3407,extra_trees_chi2,5,feature_mask_5pct,0.9484353836315849,-0.00011799037967330506,-0.00012442076936783762
3407,extra_trees_chi2,6,gaussian_noise_1pct,0.9200746173157978,0.028242775936113795,0.02978198663979515
3407,extra_trees_chi2,6,feature_mask_5pct,0.9484227334099922,-0.00010534015808061348,-0.00011108111991849849
3407,extra_trees_chi2,7,gaussian_noise_1pct,0.9090867535240295,0.0392306397278821,0.041368680999675445
3407,extra_trees_chi2,7,feature_mask_5pct,0.950469429073212,-0.002152035821300413,-0.0022693202050431496
3407,extra_trees_chi2,8,gaussian_noise_1pct,0.9205232446633318,0.02779414858857976,0.029308909428803976
