seed,model,n_jobs,batch_size,p50_ms,p95_ms,p99_ms,mean_ms
42,rccf,1,1,14.737550001882482,16.42099499804317,16.72338300035335,14.994520000072953
42,rccf,-1,1,72.79355000355281,75.1512000006187,107.0501649998914,74.02114499964227
42,equal_rf_chi2,1,1,4.101350001292303,12.672635005219488,13.651718001201516,5.501852500310633
42,equal_rf_chi2,-1,1,20.701900000858586,92.06667000471496,105.29153799878257,32.68295999987458
42,extra_trees_chi2,1,1,2.2290999986580573,3.3001349976984784,3.410466002096655,2.3349324999799137
42,extra_trees_chi2,-1,1,18.973650003317744,74.56201499844607,83.11932099808473,29.65718499981449
2024,rccf,1,1,10.329799999453826,11.587150000195834,12.667672001916799,10.416494999481074
2024,rccf,-1,1,71.00815000012517,73.57759500155225,74.60564799723215,70.86319499903766
2024,equal_rf_chi2,1,1,1.8956499989144504,2.703200000178185,2.9408519981370773,1.9989124994026497
2024,equal_rf_chi2,-1,1,16.80549999946379,18.08947499957867,18.140104001722648,16.806249999171996
2024,extra_trees_chi2,1,1,1.9787000019277912,2.3549850033305115,2.4949530001322273,2.0287250001274515
2024,extra_trees_chi2,-1,1,17.18145000268123,19.047344994396553,19.291963996365666,17.312152499653166
3407,rccf,1,1,14.621799997257767,16.14310500008287,16.725767000752967,14.550892500119517
3407,rccf,-1,1,74.18359999792301,481.95380499564595,615.7707450025919,132.8056549999019
3407,equal_rf_chi2,1,1,1.9571000011637807,2.35868499330536,2.5066660020820564,2.026322500387323
3407,equal_rf_chi2,-1,1,16.397499999584397,17.535189998307033,18.204141000896925,16.299702498872648
3407,extra_trees_chi2,1,1,2.2256500014918856,2.551084998412989,2.65225999901304,2.237977499498811
3407,extra_trees_chi2,-1,1,16.40179999594693,17.782044997875346,18.611148997224518,16.46781999934319
