seed,model,macro_f1,correct
42,rccf,0.9605030012596144,485
42,equal_rf_chi2,0.9605030012596144,485
42,extra_trees_chi2,0.9463054609104635,478
2024,rccf,0.9605030012596144,485
2024,equal_rf_chi2,0.9605030012596144,485
2024,extra_trees_chi2,0.9523047805355249,481
3407,rccf,0.9605030012596144,485
3407,equal_rf_chi2,0.9585207729615967,484
3407,extra_trees_chi2,0.9483173932519116,479
