cv,seed,risk_C,descriptor_set,val_macro_f1,equal_weight_val_macro_f1,disagreement_vs_equal_weight,mean_weight_entropy,min_weight_entropy,expert_table_seconds,disagreement_vs_default_gate
5,42,0.01,all,0.8961983950209749,0.8961983950209749,0,0.9999950298133916,0.9973963211809991,57.43745129999979,0
5,42,0.01,entropy,0.8961983950209749,0.8961983950209749,0,0.9999978889010448,0.9996581504855478,57.43745129999979,0
5,42,0.01,margin,0.8961983950209749,0.8961983950209749,0,0.9999987271657423,0.9995233775757842,57.43745129999979,0
5,42,0.1,all,0.8961983950209749,0.8961983950209749,0,0.9999900539592206,0.9964418273018131,57.43745129999979,0
5,42,0.1,entropy,0.8961983950209749,0.8961983950209749,0,0.9999943146288092,0.9989228012018214,57.43745129999979,0
5,42,0.1,margin,0.8961983950209749,0.8961983950209749,0,0.9999959932840459,0.9987793323911638,57.43745129999979,0
5,42,1.0,all,0.8961983950209749,0.8961983950209749,0,0.9999736766314131,0.9819166374779826,57.43745129999979,0
5,42,1.0,entropy,0.8961983950209749,0.8961983950209749,0,0.99998384828131,0.9962885082858924,57.43745129999979,0
5,42,1.0,margin,0.8961983950209749,0.8961983950209749,0,0.9999901946246809,0.9972744487165991,57.43745129999979,0
5,42,10.0,all,0.8961983950209749,0.8961983950209749,0,0.9999621997387942,0.9768131447080788,57.43745129999979,0
5,42,10.0,entropy,0.8961983950209749,0.8961983950209749,0,0.999978052434765,0.9939759220995743,57.43745129999979,0
5,42,10.0,margin,0.8961983950209749,0.8961983950209749,0,0.9999841563571951,0.99500574244086,57.43745129999979,0
