cv,risk_C,descriptor_set,mean,std
5,0.01,all,0.8961983950209749,
5,0.01,entropy,0.8961983950209749,
5,0.01,margin,0.8961983950209749,
5,0.1,all,0.8961983950209749,
5,0.1,entropy,0.8961983950209749,
5,0.1,margin,0.8961983950209749,
5,1.0,all,0.8961983950209749,
5,1.0,entropy,0.8961983950209749,
5,1.0,margin,0.8961983950209749,
5,10.0,all,0.8961983950209749,
5,10.0,entropy,0.8961983950209749,
5,10.0,margin,0.8961983950209749,
