accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier,ece,mce,aurc,risk_at_90,risk_at_95,model,seed,train_seconds,predict_seconds,test_samples,rejected_count,coverage
0.9953927546333138,0.9235203905981524,0.7119805843479436,0.9235203905981524,0.7541630240148188,0.0100887108223706,0.0012508776987611,0.0018970320272903,0.3937431454288027,2.8817576073833163e-05,1.219571686423728e-05,2.0219234268713624e-05,rccf,42,8138.8911173000015,3.655484200004139,364426,35172,0.9034865788939318
0.9953296416830852,0.9246932055744644,0.7132052714506665,0.9246932055744644,0.75518915717832,0.0099620776616956,0.0012548230828093,0.0023971926632586,0.2875201113607744,2.7583981489500903e-05,1.52446460802966e-05,1.733077223032596e-05,rccf,2024,24784.67195979999,4.913531900005182,364426,35399,0.9028636815155888
0.9954997722445708,0.9252815249127098,0.7140931707623749,0.9252815249127098,0.756893740599254,0.0092669391459097,0.0011407261891618,0.0019264715607282,0.2914156043906316,2.520428202623073e-05,9.14678764817796e-06,1.733077223032596e-05,rccf,3407,15407.9254172,5.64093469999716,364426,35530,0.9025042121034176
0.9952720168154852,0.9246728194929896,0.71237250297864,0.9246728194929896,0.7544163131926139,0.0103521636416415,0.0013051162581798,0.0021545950657355,0.3291933204538393,2.920914909755892e-05,9.14678764817796e-06,1.733077223032596e-05,rccf,7,15335.5499027,24.358612699998048,364426,35015,0.9039173933802748
0.9952253681131424,0.9220679559343038,0.7105624140420433,0.9220679559343038,0.7516757034111097,0.0103585427701129,0.0012810203425841,0.0018563417309193,0.2741402533813941,2.9823786785210444e-05,1.219571686423728e-05,2.3107696307101283e-05,rccf,13,16045.6040102,5.709331699999893,364426,35051,0.9038186078929604
0.9953680582614852,0.9207359753311708,0.7110384973216104,0.9207359753311708,0.7528195975903047,0.009432552261765,0.0011764942064647,0.0022821952127578,0.6474396464359847,2.6077749867246847e-05,1.219571686423728e-05,2.5996158345488942e-05,rccf,101,14999.0830418,5.355473400006304,364426,35171,0.903489322935246
0.9953488499722852,0.9224612555713648,0.713640571177061,0.9224612555713648,0.7552991477875052,0.0096965612352414,0.0012192039725903,0.0022516946839318,0.3945670379099142,2.6610744353042305e-05,9.14678764817796e-06,2.0219234268713624e-05,rccf,202,15435.700633200002,5.514242299999751,364426,35198,0.9034152338197604
0.9952747608567994,0.9249830127772763,0.7113261006205196,0.9249830127772763,0.7534768926047566,0.0097184507007528,0.0012317515815774,0.0023209097669533,0.3821952856236277,2.7091653198278675e-05,1.219571686423728e-05,2.0219234268713624e-05,rccf,303,15210.9201316,5.315784499995061,364426,35020,0.9039036731737032
0.9954503795009138,0.9259407700511176,0.7126272398249465,0.9259407700511176,0.7555162432299917,0.0096447104412678,0.0011978391532159,0.0021614653212747,0.2935581440039752,2.6352910883448896e-05,9.14678764817796e-06,1.733077223032596e-05,rccf,404,11990.6186438,7.0619710000028135,364426,35278,0.9031957105146176
0.9951759753694852,0.9188402783825846,0.709972087773369,0.9188402783825846,0.7506223385539452,0.0099765290857938,0.0012754932212757,0.0025760138600536,0.6138958864170676,2.741335394176675e-05,1.219571686423728e-05,1.733077223032596e-05,rccf,505,12009.802198700005,4.945622499995807,364426,35255,0.903258823464846
