,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.019202363367799114,0.7370753323485968,0.059084194977843424,0.06351550960118169,0.0723781388478582,0.0206794682422452,0.022156573116691284,0.0014771048744460858,0.004431314623338257,0.0
Backdoor,0.02058319039451115,0.7461406518010292,0.0548885077186964,0.018867924528301886,0.10634648370497427,0.03430531732418525,0.0,0.003430531732418525,0.015437392795883362,0.0
DoS,0.04866715578381022,0.5390070921985816,0.1552946930789924,0.15358278307654682,0.05013450721447787,0.007825874296894107,0.001467351430667645,0.009782342871117632,0.03374908290535583,0.0004891171435558817
Exploits,0.018774703557312252,0.2179302910528207,0.03233920229967661,0.6449874236435501,0.03251886453467481,0.0035932446999640674,0.004940711462450593,0.027937477542220625,0.016259432267337406,0.0007186489399928135
Fuzzers,0.004783899703068294,0.162652589904322,0.014021774991751897,0.04800395908940944,0.6544044869679974,0.004618937644341801,0.052622896733751236,0.001649620587264929,0.05724183437809304,0.0
Generic,0.00031794817444756504,0.0012717926977902601,0.0042393089926342,0.022256372211329555,0.003656404006146998,0.9566530655503153,0.00010598272481585502,0.00010598272481585502,0.011022203380848921,0.00037093953685549255
Normal,0.020513513513513514,0.0007297297297297297,0.002135135135135135,0.01854054054054054,0.2732162162162162,0.0,0.6788108108108108,0.0005135135135135136,0.005459459459459459,8.108108108108108e-05
Reconnaissance,0.007151029748283753,0.06979405034324943,0.010297482837528604,0.05348970251716247,0.017448512585812356,0.0,0.0002860411899313501,0.8177917620137299,0.02345537757437071,0.0002860411899313501
Shellcode,0.0,0.005291005291005291,0.0,0.07407407407407407,0.09788359788359788,0.0,0.005291005291005291,0.010582010582010581,0.8068783068783069,0.0
Worms,0.0,0.0,0.022727272727272728,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.5227272727272727
