,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.1019202363367799,0.37518463810930575,0.1344165435745938,0.03988183161004431,0.059084194977843424,0.21418020679468242,0.04579025110782865,0.025110782865583457,0.004431314623338257,0.0
Backdoor,0.10806174957118353,0.3241852487135506,0.14065180102915953,0.025728987993138937,0.09948542024013722,0.24871355060034306,0.0,0.036020583190394515,0.017152658662092625,0.0
DoS,0.1024700415749572,0.4428955734898508,0.14771337735387624,0.15700660308143802,0.05184641721692345,0.03546099290780142,0.0017119100024455857,0.024455857177794083,0.03521643433602348,0.001222792858889704
Exploits,0.04213079410707869,0.16313330937836867,0.03503413582464966,0.6152533237513474,0.04105282069708947,0.02605102407473949,0.0031440891124685593,0.04042400287459576,0.03296802012217032,0.0008084800574919152
Fuzzers,0.02441438469152095,0.0814912570108875,0.02771362586605081,0.006268558231606731,0.7311118442758165,0.04783899703068294,0.036291652919828436,0.02903332233586275,0.015011547344110854,0.0008248102936324645
Generic,0.00037093953685549255,0.0009538445233426952,0.0033914471941073605,0.021620475862434423,0.027555508452122304,0.9377351491706852,0.00010598272481585502,0.000529913624079275,0.007418790737109851,0.00031794817444756504
Normal,0.03924324324324324,0.0001891891891891892,0.0014324324324324325,0.01527027027027027,0.2941081081081081,0.0005675675675675675,0.6262972972972973,0.01227027027027027,0.010513513513513513,0.00010810810810810811
Reconnaissance,0.013157894736842105,0.06578947368421052,0.007151029748283753,0.01887871853546911,0.020881006864988557,0.0,0.0005720823798627002,0.8240846681922197,0.04919908466819222,0.0002860411899313501
Shellcode,0.0,0.0,0.0,0.015873015873015872,0.07142857142857142,0.0,0.0,0.12433862433862433,0.7857142857142857,0.0026455026455026454
Worms,0.0,0.0,0.0,0.5,0.045454545454545456,0.0,0.0,0.0,0.13636363636363635,0.3181818181818182
