accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,model,seed,train_seconds,predict_seconds,feature_count
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13185090535976296,0.013795592177752124,0.02624387341869404,0.3905902091419294,equal_rf_chi2,42,0.20122450000053504,0.026439299996127374,60
0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.13789114165431718,0.014212213853689926,0.025380248841448516,0.19231600469260146,equal_rf_all,42,0.19914840000274125,0.027597799999057315,78
0.9465346534653465,0.9465346534653465,0.9484795482892198,0.9465346534653465,0.9463054609104635,0.15246402016446953,0.015374037507196483,0.04341289871045166,0.35619012874456785,extra_trees_chi2,42,0.11779840000235708,0.02720989999943413,60
0.9623762376237623,0.9623762376237623,0.9639203468733969,0.9623762376237623,0.9624852863317515,0.14755246541663727,0.013982362677309668,0.020329987167585332,0.22481618602234354,cfrg_forest_chi2,42,0.37068550000549294,0.026957499998388812,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.1351887494761777,0.013994144279031418,0.02525827108822859,0.25831545135076617,equal_rf_chi2,2024,0.2001557999974466,0.026726600000984035,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13328601726189712,0.013782651623142789,0.026083424855587657,0.200309543059132,equal_rf_all,2024,0.2081506000031368,0.027499099996930454,78
0.9524752475247524,0.9524752475247524,0.9545660377358491,0.9524752475247524,0.9523047805355249,0.14851083464318263,0.014916132577233177,0.0356374358128694,0.3450535038453219,extra_trees_chi2,2024,0.11476170000241837,0.026447900003404357,60
0.9623762376237623,0.9623762376237623,0.9639203468733969,0.9623762376237623,0.9624852863317515,0.14221649712995582,0.013901641334478737,0.02029849890900894,0.20259940484693195,cfrg_forest_chi2,2024,0.3674241999979131,0.027685200002451893,60
0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.1328034159417584,0.013660841710868371,0.02722905527290373,0.6164741692787221,equal_rf_chi2,3407,0.23443850000330713,0.02803229999699397,60
0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.1346280508806431,0.013880526686006863,0.025932294014719356,0.3804072266718886,equal_rf_all,3407,0.19651219999650493,0.02718549999553943,78
0.9485148514851485,0.9485148514851485,0.9505900112792869,0.9485148514851485,0.9483173932519116,0.1502829915056562,0.01510433063537479,0.036188144725223505,0.3788377036384148,extra_trees_chi2,3407,0.11532679999800166,0.027624700000160374,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.15196709956205454,0.01468943103283435,0.022493066905840003,0.2198590829684739,cfrg_forest_chi2,3407,0.37254729999403935,0.02826729999651434,60
