hidden_layer_sizes,alpha,val_macro_f1,val_accuracy,fit_seconds
"(64,)",0.0001,0.7761472959656592,0.977335336839469,13.883689900000718
"(128,)",0.0001,0.7838863974925533,0.9794640621086902,28.035379899999498
"(128, 64)",0.0001,0.782820174394901,0.9782118707738543,17.626586899999893
"(128,)",0.001,0.7755016849339993,0.9758327072376659,26.714936999999736
"(128, 64)",0.001,0.7773252685534524,0.9770848985725019,17.546644699999888
"(128,)",0.01,0.7677959230645107,0.966816929626847,19.983977799999593
