cv,seed,risk_C,descriptor_set,val_macro_f1,equal_weight_val_macro_f1,disagreement_vs_equal_weight,mean_weight_entropy,min_weight_entropy,expert_table_seconds,disagreement_vs_default_gate
3,42,0.01,all,0.8961983950209749,0.8961983950209749,0,0.9999967314572369,0.9988671097548742,34.25449260000005,0
3,42,0.01,entropy,0.8961983950209749,0.8961983950209749,0,0.9999984941402817,0.9996630504150427,34.25449260000005,0
3,42,0.01,margin,0.8961983950209749,0.8961983950209749,0,0.9999988768998643,0.9997065441529928,34.25449260000005,0
3,42,0.1,all,0.8961983950209749,0.8961983950209749,0,0.9999903579889199,0.9951344666032942,34.25449260000005,0
3,42,0.1,entropy,0.8961983950209749,0.8961983950209749,0,0.9999956596687316,0.9974786459581747,34.25449260000005,0
3,42,0.1,margin,0.8961983950209749,0.8961983950209749,0,0.999996582693255,0.9983412174035692,34.25449260000005,0
3,42,1.0,all,0.8961983950209749,0.8961983950209749,0,0.9999745332661193,0.9873907839863063,34.25449260000005,0
3,42,1.0,entropy,0.8961983950209749,0.8961983950209749,0,0.9999864268545601,0.995111563090102,34.25449260000005,0
3,42,1.0,margin,0.8961983950209749,0.8961983950209749,0,0.9999892273994881,0.9959934684368114,34.25449260000005,0
3,42,10.0,all,0.8961983950209749,0.8961983950209749,0,0.9999679292158506,0.9872966868806035,34.25449260000005,0
3,42,10.0,entropy,0.8961983950209749,0.8961983950209749,0,0.9999732157177552,0.9933361715333615,34.25449260000005,0
3,42,10.0,margin,0.8961983950209749,0.8961983950209749,0,0.9999849369862692,0.9921464217948536,34.25449260000005,0
3,2024,0.01,all,0.8957955988466703,0.8957955988466703,0,0.9999978134375691,0.9987398398032806,34.747405800000706,0
3,2024,0.01,entropy,0.8957955988466703,0.8957955988466703,0,0.9999990377770618,0.9998729865481824,34.747405800000706,0
3,2024,0.01,margin,0.8957955988466703,0.8957955988466703,0,0.9999992698641776,0.9996253980525257,34.747405800000706,0
3,2024,0.1,all,0.8957955988466703,0.8957955988466703,0,0.9999952223608879,0.9979383305361307,34.747405800000706,0
3,2024,0.1,entropy,0.8957955988466703,0.8957955988466703,0,0.999996957953089,0.9994556960718048,34.747405800000706,0
3,2024,0.1,margin,0.8957955988466703,0.8957955988466703,0,0.9999978696675723,0.9992345862896561,34.747405800000706,0
3,2024,1.0,all,0.8957955988466703,0.8957955988466703,0,0.999986411927221,0.9967218816920821,34.747405800000706,0
3,2024,1.0,entropy,0.8957955988466703,0.8957955988466703,0,0.9999912782056254,0.9976633001602846,34.747405800000706,0
3,2024,1.0,margin,0.8957955988466703,0.8957955988466703,0,0.9999928542210812,0.9976710721817528,34.747405800000706,0
