model,test_rows,rows_removed,removed_fraction,macro_f1_full,macro_f1_excluding_near_duplicates,delta
rccf,7986,17,0.002128725269221137,0.8892782820171663,0.8890958360420026,-0.0001824459751637031
equal_rf_chi2,7986,17,0.002128725269221137,0.8897341182289404,0.8895492663390245,-0.00018485188991590462
extra_trees_chi2,7986,17,0.002128725269221137,0.857490301370287,0.8569208552942598,-0.000569446076027269
