unknown_combination,known_validation_samples,unknown_samples,threshold,unknown_recall,unknown_auroc,unknown_aupr,unknown_fpr_at_95_tpr,coverage,known_macro_f1,median_score_recall_diagnostic
Heartbleed,935,11,0.7013773660178088,1.0,0.9943607194944093,0.5834439038773404,0.008556149732620321,0.9883720930232558,0.970037805195528,0.023206751054852322
Infiltration,935,36,0.7013773660178088,0.3888888888888889,0.9172311348781936,0.22602400263103517,0.3625668449197861,0.9629248197734295,0.970037805195528,0.0720164609053498
PortScan,935,1000,0.7013773660178088,0.759,0.9597807486631016,0.9025519997800259,0.053475935828877004,0.48320413436692505,0.970037805195528,0.9487179487179487
Heartbleed+Infiltration,935,47,0.7013773660178088,0.5319148936170213,0.9352827397883718,0.4096411693766448,0.10695187165775401,0.9521384928716904,0.970037805195528,0.09274193548387097
Heartbleed+PortScan,935,1011,0.7013773660178088,0.76162215628091,0.9601569896909399,0.907777147709087,0.053475935828877004,0.48047276464542654,0.970037805195528,0.9486125385405961
Infiltration+PortScan,935,1036,0.7013773660178088,0.7461389961389961,0.9583021906551319,0.9049141222156557,0.058823529411764705,0.4743784880771182,0.970037805195528,0.9494949494949495
Heartbleed+Infiltration+PortScan,935,1047,0.7013773660178088,0.7488061127029608,0.9586810290670057,0.9097365791117439,0.058823529411764705,0.4717457114026236,0.970037805195528,0.9500499500499501
