model,metric,estimate,ci95_low,ci95_high,replicates,seed
extra_trees_chi2,accuracy,0.8557183112277121,0.8533121993878443,0.8586682577855512,100,20260904
extra_trees_chi2,balanced_accuracy,0.5972840187175753,0.5850491450507792,0.6140600719462462,100,20260904
extra_trees_chi2,macro_f1,0.5326041513805206,0.5220964189126499,0.5483419161458576,100,20260904
extra_trees_chi2,log_loss,0.4466331632509205,0.4406496655958277,0.4516342798390498,100,20260904
extra_trees_chi2,ece,0.053714573524337936,0.052286588737048174,0.055337593093818506,100,20260904
rf_all,accuracy,0.863418840790944,0.8615237696157023,0.8655768716902298,100,20260904
rf_all,balanced_accuracy,0.6156816163649195,0.6010506498877265,0.6318389084700708,100,20260904
rf_all,macro_f1,0.5623861671249667,0.5505444435785658,0.5730965645885675,100,20260904
rf_all,log_loss,0.39766803107822507,0.3916306609400984,0.40405463747341064,100,20260904
rf_all,ece,0.05402858209086217,0.0530367788749471,0.055722268168441426,100,20260904
rf_chi2,accuracy,0.863418840790944,0.860852098819414,0.865574138852451,100,20260904
rf_chi2,balanced_accuracy,0.6156816163649195,0.5986446411603822,0.6317573574326247,100,20260904
rf_chi2,macro_f1,0.5623861671249667,0.5485002577248943,0.5752929223059025,100,20260904
rf_chi2,log_loss,0.39766803107822507,0.3910587905186946,0.4044177780694183,100,20260904
rf_chi2,ece,0.05402858209086217,0.05255933130528499,0.055631010203441765,100,20260904
xgboost_chi2,accuracy,0.8849414565418063,0.8826555895642035,0.8870144658213088,100,20260904
xgboost_chi2,balanced_accuracy,0.5564320281257571,0.540913164409222,0.572766518874352,100,20260904
xgboost_chi2,macro_f1,0.5446758239452133,0.5276247583247711,0.5590239212843495,100,20260904
xgboost_chi2,log_loss,0.29169933493512346,0.28714403388955595,0.298181578961248,100,20260904
xgboost_chi2,ece,0.020283314158062633,0.01894588815078265,0.02192219238934357,100,20260904
