model,seed,threshold,known_macro_f1,unknown_recall,known_false_rejection_rate,auroc,aupr,known_validation_samples,unknown_samples
equal_rf,42,0.7588027247734028,0.9452950287400835,0.7992183683439179,0.049,0.9601162677088422,0.9495910409615894,1000,2047
cfrg_forest,42,0.9516301064336811,0.925580087830655,0.004396678065461651,0.048,0.6574235466536394,0.6901681595954667,1000,2047
equal_rf,2024,0.7640616221521508,0.9431519161343882,0.8446507083536883,0.049,0.9652540302882266,0.9565858944644701,1000,2047
cfrg_forest,2024,0.9483316502645709,0.9232711566888664,0.1446018563751832,0.049,0.7838690766976063,0.8339477342782348,1000,2047
equal_rf,3407,0.6895663087161465,0.9435694423778109,0.38348803126526626,0.049,0.9417220322423058,0.9246519122282908,1000,2047
cfrg_forest,3407,0.9391148615661999,0.9268076694412588,0.0004885197850512946,0.049,0.7805158768930142,0.7790121005500175,1000,2047
