,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,274,0,0,18,0
Brute Force,0,1505,0,1,87
DoS/DDoS,0,0,48221,17,2
Normal,1467,1,104,312612,16
Web Attack,0,23,0,4,74
