,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,272,0,0,20,0
Brute Force,0,1503,0,1,89
DoS/DDoS,0,0,48222,16,2
Normal,1396,1,133,312659,11
Web Attack,0,23,0,3,75
