,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,273,0,0,19,0
Brute Force,0,1502,0,1,90
DoS/DDoS,0,0,48222,16,2
Normal,1425,1,127,312631,16
Web Attack,0,21,0,4,76
