model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,log_loss_mean,log_loss_std,brier_macro_mean,brier_macro_std,ece_mean,ece_std,mce_mean,mce_std,train_seconds_mean,train_seconds_std,predict_seconds_mean,predict_seconds_std
cfrg_forest_chi2,0.9617161716171617,0.0011432678597814543,0.9617161716171617,0.0011432678597814543,0.9631596567866442,0.0013175538790697757,0.9617161716171617,0.0011432678597814543,0.9618245246410391,0.0011444728200088847,0.1447840271446222,0.002878087639438225,0.014217084420732268,0.000401641879909958,0.023632199769804487,0.0008363761119645933,0.20492121351143708,0.005523844288354817,0.341985166665836,0.0026363682659958014,0.026778366666500613,0.0014589201692832635
equal_rf_all,0.9577557755775578,0.0022865357195628842,0.9577557755775578,0.0022865357195628842,0.9587246606760816,0.0025232654183625766,0.9577557755775578,0.0022865357195628842,0.9578512706117258,0.0022964661050652916,0.13526840326561915,0.002368402636825904,0.01395846405427986,0.0002251368528432158,0.025798655903918503,0.00037014657260194006,0.25767759147454067,0.1063621017123104,0.18722909999996773,0.0018216457593211372,0.02761113333447914,0.0016110350151402296
equal_rf_chi2,0.9597359735973597,0.0011432678597814543,0.9597359735973597,0.0011432678597814543,0.960890960777624,0.001294388996412138,0.9597359735973597,0.0011432678597814543,0.9598422584936085,0.001144440041455843,0.13328102359256636,0.0017194134573900056,0.013816859389217307,0.00016766595122042345,0.026243733259942118,0.0009853920998134551,0.42179327659047255,0.18110670989943475,0.20287106666728505,0.01586482503575783,0.023477399999440724,0.006604060698697517
extra_trees_chi2,0.9491749174917491,0.0030248024389147453,0.9491749174917491,0.0030248024389147453,0.9512118657681187,0.003090528385234906,0.9491749174917491,0.0030248024389147453,0.9489758782326333,0.0030533851449315724,0.15041928210443611,0.001980113705552024,0.015131500239934816,0.0002301583623945397,0.038412826416181524,0.004338935616886062,0.36002711207610155,0.017215831949974274,0.10217180000108783,0.005986185069719183,0.027268866667630693,0.0009821265983439855
