accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,model,seed,train_seconds,predict_seconds,feature_count
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13185090535976296,0.013795592177752128,0.026243873418694035,0.3905902091419294,equal_rf_chi2,42,0.19317249999949127,0.027402499999880092,60
0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.13789114165431718,0.014212213853689926,0.025380248841448516,0.19231600469260146,equal_rf_all,42,0.1851487999992969,0.029410099999950035,78
0.9465346534653465,0.9465346534653465,0.9484795482892198,0.9465346534653465,0.9463054609104635,0.15246402016446953,0.015374037507196483,0.04341289871045166,0.35619012874456785,extra_trees_chi2,42,0.10897820000172942,0.028023400001984555,60
0.9623762376237623,0.9623762376237623,0.9639203468733969,0.9623762376237623,0.9624852863317515,0.1433726709304493,0.014008255661070876,0.023811778842601723,0.20323564578079611,cfrg_forest_chi2,42,0.3401151999969443,0.02610379999896395,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.1351887494761777,0.01399414427903142,0.02525827108822859,0.2583154513507662,equal_rf_chi2,2024,0.19426130000283592,0.027176899999176385,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13328601726189712,0.013782651623142789,0.02608342485558764,0.200309543059132,equal_rf_all,2024,0.1885388000009698,0.026301500001864042,78
0.9524752475247524,0.9524752475247524,0.9545660377358491,0.9524752475247524,0.9523047805355249,0.14851083464318263,0.014916132577233177,0.0356374358128694,0.3450535038453219,extra_trees_chi2,2024,0.0998122000019066,0.027624800000921823,60
0.9623762376237623,0.9623762376237623,0.9639203468733969,0.9623762376237623,0.9624852863317515,0.14288404915624558,0.01396287767520736,0.022720620407401082,0.20043652125845757,cfrg_forest_chi2,2024,0.3408397999992303,0.028452499998820713,60
0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.1328034159417584,0.013660841710868371,0.02722905527290373,0.6164741692787221,equal_rf_chi2,3407,0.22117939999952796,0.0158527999992657,60
0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.13462805088064314,0.013880526686006867,0.02593229401471936,0.38040722667188853,equal_rf_all,3407,0.1879996999996365,0.027121800001623342,78
0.9485148514851485,0.9485148514851485,0.9505900112792869,0.9485148514851485,0.9483173932519116,0.1502829915056562,0.01510433063537479,0.036188144725223505,0.3788377036384148,extra_trees_chi2,3407,0.09772499999962747,0.026158399999985704,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.1480953613471717,0.014680119925918566,0.02436420005941065,0.21109147349505752,cfrg_forest_chi2,3407,0.3450005000013334,0.025778800001717173,60
