comparison,metric,mean_delta,ci_low,ci_high,permutation_p,n_folds
xgboost_vs_random_forest,macro_f1,0.007754939137511218,0.004423935867834938,0.010548619229958357,0.0625,5
extra_trees_vs_random_forest,macro_f1,-0.006458973277527691,-0.012390578057464264,-0.0022630588766083593,0.0625,5
