fold,model,selected_config,k,feature_count,inner_macro_f1,train_seconds,predict_seconds,test_samples,accuracy,balanced_accuracy,macro_f1,log_loss,brier_macro,ece
1,random_forest,rf_chi2_k60_t100,60,60,0.95147852184828,0.22150390001479536,0.057437999988906085,572,0.9615384615384616,0.9615713196033562,0.9615862637431247,0.14089375816339184,0.014575392975502598,0.0340944776359042
1,extra_trees,et_chi2_k40_t100,40,40,0.9416593117831372,0.1150686000182759,0.05867860000580549,572,0.9440559440559441,0.9441189931350115,0.9439084916841024,0.16777901051897087,0.01726013534683562,0.036156376462326466
1,xgboost,xgb_chi2_k60_t100_d6,60,60,0.9619572952143102,0.47015860001556575,0.0035561999829951674,572,0.9632867132867133,0.9633714721586575,0.9631615128091131,0.09988388053631156,0.010985127517928534,0.00868862723609001
2,random_forest,rf_chi2_k40_t100,40,40,0.95450740145752,0.21888270002091303,0.056378600012976676,572,0.9545454545454546,0.9546453089244851,0.9545096942386907,0.14225495338077984,0.014264419031754762,0.026510554933015483
2,extra_trees,et_chi2_k60_t100,60,60,0.9424747079076955,0.11931770000956021,0.05703110000467859,572,0.951048951048951,0.9512738367658276,0.9507512784991686,0.16217926016687323,0.016804063869183927,0.029254372053527267
2,xgboost,xgb_chi2_k40_t100_d6,40,40,0.9628896114006658,0.37765069998567924,0.00357209998765029,572,0.9632867132867133,0.9633714721586577,0.9635105848535502,0.11510810830092012,0.01154288260862842,0.013184028519566293
3,random_forest,rf_chi2_k20_t100,20,20,0.940853724604218,0.22439860002486967,0.05639770001289435,572,0.9562937062937062,0.9562166285278414,0.9561722252233625,0.1518250944396244,0.01516506275311467,0.02215678940507474
3,extra_trees,et_chi2_k40_t100,40,40,0.9363966331858697,0.13725220001651905,0.058818999998038635,572,0.9545454545454546,0.9544927536231885,0.9542331207445226,0.1660082618927601,0.016169037838566644,0.05071700886276652
3,xgboost,xgb_chi2_k60_t100_d6,60,60,0.9527537956701199,0.5870760000252631,0.0039028000028338283,572,0.9685314685314685,0.9684515636918383,0.9684444952949042,0.10710317857209212,0.01069820338747059,0.012652803335081526
4,random_forest,rf_chi2_k60_t100,60,60,0.9497375357494401,0.23593049999908544,0.05733949999557808,572,0.9545454545454546,0.954508009153318,0.9545851963098748,0.13858931604527863,0.014186886573062638,0.031257925124340696
4,extra_trees,et_chi2_k60_t100,60,60,0.9389782132846621,0.1269091999856755,0.057060499995714054,572,0.9527972027972028,0.9527536231884058,0.9527458614669548,0.14986242999078056,0.014986310151097767,0.041509869573458195
4,xgboost,xgb_chi2_k60_t100_d6,60,60,0.956703929353954,0.714398899988737,0.005424800008768216,572,0.9632867132867133,0.9632799389778794,0.9632821623804796,0.11885989047016036,0.011915892315424972,0.017492406880076413
5,random_forest,rf_chi2_k60_t100,60,60,0.9579915922125212,0.24145889998180792,0.06106920001911931,572,0.9458041958041958,0.945629290617849,0.9452592726439395,0.17965227481579643,0.018863002952289726,0.029324145092622718
5,extra_trees,et_chi2_k40_t100,40,40,0.9481726714553615,0.12334700001520105,0.056626199977472425,572,0.9388111888111889,0.9386117467581998,0.9381790333766056,0.20438877875592426,0.02144495092409099,0.03484150750771133
5,xgboost,xgb_chi2_k60_t100_d6,60,60,0.967188952780336,0.5939215000253171,0.004747900005895644,572,0.9527972027972028,0.9526926010678871,0.9524885925085014,0.1471645480905333,0.0158399719491998,0.017559087973368474
