,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,288,0,0,4,0
Brute Force,0,1575,0,5,13
DoS/DDoS,0,0,29991,6,0
Normal,17,0,17,29965,0
Web Attack,0,85,3,4,9
