,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1475,0,3,115
DoS/DDoS,0,0,29975,15,7
Normal,131,0,15,29848,5
Web Attack,0,15,3,4,79
