,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1420,0,7,166
DoS/DDoS,0,0,29800,109,88
Normal,197,26,264,29460,52
Web Attack,0,0,2,2,97
