,precision,recall,f1-score,support
Bot,0.6339869281045751,0.9965753424657534,0.7749667110519307,292.0
Brute Force,0.9879356568364611,0.9252981795354677,0.9555915721231767,1593.0
DoS/DDoS,0.9993332666599993,0.9993332666599993,0.9993332666599993,29997.0
Normal,0.9992625121517884,0.9936664555485183,0.9964566271101454,29999.0
Web Attack,0.37438423645320196,0.7524752475247525,0.5,101.0
accuracy,0.9942725307347294,0.9942725307347294,0.9942725307347294,0.9942725307347294
macro avg,0.7989805200412052,0.9334696983468982,0.8452696353890504,61982.0
weighted avg,0.9962665708475088,0.9942725307347294,0.9949461135603341,61982.0
