,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1483,0,3,107
DoS/DDoS,0,0,29987,10,0
Normal,132,1,15,29847,4
Web Attack,0,22,3,4,72
