,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1476,0,4,113
DoS/DDoS,0,0,29980,11,6
Normal,151,0,15,29828,5
Web Attack,0,18,3,2,78
