,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,286,0,0,6,0
Brute Force,0,1580,0,4,9
DoS/DDoS,0,0,29990,7,0
Normal,17,0,19,29963,0
Web Attack,0,83,3,4,11
