,precision,recall,f1-score,support
Bot,0.940983606557377,0.9828767123287672,0.9614740368509213,292.0
Brute Force,0.9511754068716094,0.9905838041431262,0.9704797047970479,1593.0
DoS/DDoS,0.999333599893376,0.9998333166649999,0.9995833958239597,29997.0
Normal,0.9993996397838704,0.9988332944431481,0.9991163868558377,29999.0
Web Attack,0.5416666666666666,0.12871287128712872,0.208,101.0
accuracy,0.9976122099964506,0.9976122099964506,0.9976122099964506,0.9976122099964506
macro avg,0.8865117839545797,0.820167999773434,0.8277307048655533,61982.0
weighted avg,0.9971071885300974,0.9976122099964506,0.9971399471188693,61982.0
