,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1420,0,7,166
DoS/DDoS,0,0,29799,110,88
Normal,198,27,263,29459,52
Web Attack,0,0,2,2,97
