seed,low,high
7,-0.000544390043328624,0.008052695159113605
13,-0.0016291417907517867,0.006717397285915596
42,-0.005204626712962512,0.0015650085512251136
101,-0.007490834210569741,-0.0007088180414407899
202,-0.004844363906703264,0.0040718302104494185
303,-0.011711674933115989,-0.0027618858169221553
404,-0.0035508084043383626,0.0026387262731911994
505,-0.005457725242956451,0.0019368211057221236
2024,-0.008771854259642387,0.0013525534685327877
3407,-0.002494951054636757,0.004831232452187928
