,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1411,0,4,178
DoS/DDoS,0,0,29984,11,2
Normal,483,5,25,29396,90
Web Attack,0,1,3,1,96
