,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1411,0,4,178
DoS/DDoS,0,0,29981,13,3
Normal,454,4,21,29426,94
Web Attack,0,1,3,1,96
