,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1481,0,3,109
DoS/DDoS,0,0,29978,12,7
Normal,180,0,16,29798,5
Web Attack,0,20,3,2,76
