,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1410,0,4,179
DoS/DDoS,0,0,29983,12,2
Normal,429,4,24,29450,92
Web Attack,0,1,3,1,96
