,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,91,0,1,9
DoS/DDoS,0,3,96,1,1
Normal,6,2,4,89,0
Web Attack,0,3,4,0,94
