seed,comparison,estimate,lower,upper
42,rccf_minus_equal_rf_chi2,-0.0014898785705036444,-0.004278962068052203,0.0008269539580430911
2024,rccf_minus_equal_rf_chi2,0.0031420343944736917,-0.0011666758291429657,0.007635427339388158
3407,rccf_minus_equal_rf_chi2,0.0016021894875086762,-0.0005231478012114349,0.0039052521125488493
