seed,rccf_macro_f1,control_macro_f1,difference,disagreements,rows
42,0.9999629629628486,0.9999629629628487,-1.1102230246251565e-16,2,27000
2024,1.0,1.0,0.0,0,27000
3407,1.0,1.0,0.0,0,27000
