,DoS,Normal,Probe,R2L,U2R
DoS,0.7552963260927863,0.23437919013140252,0.01032448377581121,0.0,0.0
Normal,0.005766656369066008,0.9734321902996602,0.019977345278550097,0.0004119040263618577,0.0004119040263618577
Probe,0.06774060305658819,0.3378769103676167,0.5943824865757952,0.0,0.0
R2L,0.0,0.8779956427015251,0.002178649237472767,0.11692084241103849,0.002904865649963689
U2R,0.0,0.925,0.025,0.015,0.035
