,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,16,463,64,36,60,14,20,1,3,0
Backdoor,15,405,51,10,75,14,0,3,10,0
DoS,211,2195,634,635,216,14,10,49,123,2
Exploits,225,2377,372,7162,388,28,66,323,184,7
Fuzzers,38,912,132,284,4004,28,306,6,351,1
Generic,6,26,88,420,88,18045,0,3,191,4
Normal,792,30,85,673,10067,0,25083,37,229,4
Reconnaissance,26,247,32,191,56,0,3,2856,84,1
Shellcode,0,1,3,29,36,0,2,3,304,0
Worms,0,0,1,20,1,0,0,0,0,22
