,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,69,251,117,23,23,151,37,3,3,0
Backdoor,62,186,106,10,41,157,4,7,10,0
DoS,432,1808,644,604,189,169,13,77,147,6
Exploits,482,1814,460,6816,403,314,48,415,367,13
Fuzzers,143,492,217,48,4355,302,249,158,95,3
Generic,7,19,72,403,655,17581,1,7,120,6
Normal,1411,10,55,590,10740,34,23299,484,368,9
Reconnaissance,49,229,28,73,72,0,2,2875,168,0
Shellcode,0,0,0,7,26,0,0,35,310,0
Worms,0,0,0,22,2,0,0,0,7,13
