,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.023633677991137372,0.6838995568685377,0.09453471196454949,0.053175775480059084,0.08862629246676514,0.0206794682422452,0.029542097488921712,0.0014771048744460858,0.004431314623338257,0.0
Backdoor,0.025728987993138937,0.6946826758147513,0.08747855917667238,0.017152658662092625,0.12864493996569468,0.024013722126929673,0.0,0.005145797598627788,0.017152658662092625,0.0
DoS,0.051601858645145514,0.5368060650525801,0.15505013450721447,0.1552946930789924,0.05282465150403522,0.0034238200048911714,0.002445585717779408,0.0119833700171191,0.03008070432868672,0.0004891171435558817
Exploits,0.02021200143729788,0.2135285662953647,0.033417175709665826,0.6433704635285663,0.03485447358965146,0.0025152712899748474,0.005928853754940711,0.029015450952209844,0.01652892561983471,0.0006288178224937119
Fuzzers,0.006268558231606731,0.15044539755856154,0.021774991751897062,0.04684922467832398,0.6605080831408776,0.004618937644341801,0.050478389970306826,0.0009897723523589574,0.05790168261299901,0.0001649620587264929
Generic,0.00031794817444756504,0.0013777754226061152,0.0046632398918976204,0.022256372211329555,0.0046632398918976204,0.9562291346510519,0.0,0.00015897408722378252,0.010121350219914154,0.00021196544963171003
Normal,0.021405405405405406,0.0008108108108108108,0.0022972972972972973,0.01818918918918919,0.2720810810810811,0.0,0.6779189189189189,0.001,0.006189189189189189,0.00010810810810810811
Reconnaissance,0.007437070938215103,0.07065217391304347,0.009153318077803204,0.05463386727688787,0.016018306636155607,0.0,0.0008581235697940503,0.816933638443936,0.02402745995423341,0.0002860411899313501
Shellcode,0.0,0.0026455026455026454,0.007936507936507936,0.07671957671957672,0.09523809523809523,0.0,0.005291005291005291,0.007936507936507936,0.8042328042328042,0.0
Worms,0.0,0.0,0.022727272727272728,0.45454545454545453,0.022727272727272728,0.0,0.0,0.0,0.0,0.5
