weight_metric,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
balanced_accuracy,42,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114
balanced_accuracy,2024,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967
balanced_accuracy,3407,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967
accuracy,42,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114
accuracy,2024,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967
accuracy,3407,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967
macro_f1,42,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114
macro_f1,2024,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967
macro_f1,3407,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967
