,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,91,0,0,10
DoS/DDoS,0,0,99,2,0
Normal,0,0,2,97,2
Web Attack,0,5,0,1,95
