,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,89,0,3,9
DoS/DDoS,0,0,99,2,0
Normal,6,0,1,92,2
Web Attack,0,0,0,2,99
