,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,88,0,4,9
DoS/DDoS,0,0,99,2,0
Normal,4,0,2,93,2
Web Attack,0,0,0,3,98
