,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,89,0,3,9
DoS/DDoS,0,0,100,1,0
Normal,2,0,9,88,2
Web Attack,0,1,4,2,94
