weight_metric,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1
,mean,std,mean,std,mean,std,mean,std
accuracy,0.9577557755775578,0.0011432678597814302,0.958661896321621,0.0012720748983188282,0.9577557755775578,0.0011432678597814302,0.9578599523502015,0.0011445748736250152
balanced_accuracy,0.9577557755775578,0.0011432678597814302,0.958661896321621,0.0012720748983188282,0.9577557755775578,0.0011432678597814302,0.9578599523502015,0.0011445748736250152
macro_f1,0.9577557755775578,0.0011432678597814302,0.958661896321621,0.0012720748983188282,0.9577557755775578,0.0011432678597814302,0.9578599523502015,0.0011445748736250152
