weight_metric,seed,accuracy,macro_precision,macro_recall,macro_f1
balanced_accuracy,42,0.9584158415841584,0.9589276262531913,0.9584158415841584,0.9584454627321041
balanced_accuracy,2024,0.9564356435643564,0.9566707104177462,0.9564356435643564,0.956415244128323
balanced_accuracy,3407,0.9544554455445544,0.9548729517324948,0.9544554455445544,0.9545106830436805
accuracy,42,0.9584158415841584,0.9589276262531913,0.9584158415841584,0.9584454627321041
accuracy,2024,0.9564356435643564,0.9566707104177462,0.9564356435643564,0.956415244128323
accuracy,3407,0.9544554455445544,0.9548729517324948,0.9544554455445544,0.9545106830436805
macro_f1,42,0.9584158415841584,0.9589276262531913,0.9584158415841584,0.9584454627321041
macro_f1,2024,0.9564356435643564,0.9566707104177462,0.9564356435643564,0.956415244128323
macro_f1,3407,0.9544554455445544,0.9548729517324948,0.9544554455445544,0.9545106830436805
