,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,100,0,0,1,0
Brute Force,0,90,0,1,10
DoS/DDoS,0,0,99,1,1
Normal,1,1,1,96,2
Web Attack,0,6,0,0,95
