,precision,recall,f1-score,support
Bot,0.15482796892341844,0.9554794520547946,0.2664756446991404,292.0
Brute Force,0.9848684210526316,0.9397363465160076,0.9617732091230324,1593.0
DoS/DDoS,0.9986742620403936,0.9993988391376452,0.9990364192094493,48240.0
Normal,0.9998944314172102,0.9947803946530872,0.9973308572367592,314200.0
Web Attack,0.3220338983050847,0.7524752475247525,0.45103857566765576,101.0
accuracy,0.9950524935103423,0.9950524935103423,0.9950524935103423,0.9950524935103423
macro avg,0.6920597963477477,0.9283740559772575,0.7351309411872073,364426.0
weighted avg,0.9988022461007374,0.9950524935103423,0.9966641861804074,364426.0
