,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,275,0,0,17,0
Brute Force,0,1502,0,1,90
DoS/DDoS,0,0,48219,18,3
Normal,1629,1,99,312427,44
Web Attack,0,22,1,3,75
