,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,271,0,0,21,0
Brute Force,0,1493,0,2,98
DoS/DDoS,0,0,48221,17,2
Normal,1387,1,100,312678,34
Web Attack,0,17,0,4,80
