,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,279,0,0,13,0
Brute Force,0,1497,0,1,95
DoS/DDoS,0,0,48211,16,13
Normal,1523,1,64,312560,52
Web Attack,0,22,0,3,76
