,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,221,0,0,71,0
Brute Force,0,1587,0,4,2
DoS/DDoS,0,3,48218,18,1
Normal,11,1,42,314146,0
Web Attack,0,87,1,3,10
