,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,223,0,0,69,0
Brute Force,0,1587,0,4,2
DoS/DDoS,0,2,48218,20,0
Normal,7,1,40,314152,0
Web Attack,0,88,1,3,9
