,precision,recall,f1-score,support
Bot,0.16344993968636912,0.928082191780822,0.27794871794871795,292.0
Brute Force,0.9880873593646592,0.9372253609541745,0.9619845360824743,1593.0
DoS/DDoS,0.9979305064050826,0.999606135986733,0.9987676183966612,48240.0
Normal,0.9998592999533131,0.9951559516231699,0.9975020815986678,314200.0
Web Attack,0.37383177570093457,0.7920792079207921,0.5079365079365079,101.0
accuracy,0.9953817784680566,0.9953817784680566,0.9953817784680566,0.9953817784680566
macro avg,0.7046317762220717,0.9304297696531384,0.7488278923926057,364426.0
weighted avg,0.9987088386380617,0.9953817784680566,0.9968021160089522,364426.0
