,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,288,0,0,4,0
Brute Force,0,1426,0,0,167
DoS/DDoS,0,8,47711,355,166
Normal,6453,187,609,302951,4000
Web Attack,0,6,0,1,94
