,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,269,0,0,23,0
Brute Force,0,1501,0,1,91
DoS/DDoS,0,0,48223,14,3
Normal,1335,1,106,312758,0
Web Attack,0,24,0,3,74
