,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,271,0,0,21,0
Brute Force,0,1497,0,1,95
DoS/DDoS,0,0,48222,15,3
Normal,1327,1,118,312739,15
Web Attack,0,20,1,3,77
