,precision,recall,f1-score,support
Bot,0.9568965517241379,0.7602739726027398,0.8473282442748091,292.0
Brute Force,0.9451401311866429,0.9949780288763339,0.9694189602446484,1593.0
DoS/DDoS,0.9990882718607542,0.9995024875621891,0.9992953367875648,48240.0
Normal,0.9996913157903111,0.9998090388287715,0.9997501738439971,314200.0
Web Attack,0.5,0.09900990099009901,0.1652892561983471,101.0
accuracy,0.9993057575474856,0.9993057575474856,0.9993057575474856,0.9993057575474856
macro avg,0.8801632541123692,0.7707146857720266,0.7962163942698732,364426.0
weighted avg,0.9992002537633494,0.9993057575474856,0.9992039814236362,364426.0
